Category,Subcategory,Item Name,Brand,Price
Bakery & Desserts,Breads,White Bread,Albany,16.99
Bakery & Desserts,Breads,Wholewheat Bread,Sasko,18.99
Bakery & Desserts,Breads,Hamburger Buns 6pk,House Brand,14.99
Bakery & Desserts,Breads,Hotdog Buns 6pck,House Brand,14.99
Bakery & Desserts,Breads,Baguette,House Brand,17.99
Bakery & Desserts,Cakes,Chocolate Cake,Pick n Pay,59.99
Bakery & Desserts,Cakes,Vanilla Sponge Cake,House Brand,49.99
Bakery & Desserts,Pastries,Croissants,House Brand,34.99
Bakery & Desserts,Pastries,Danish Pastry,House Brand,29.99
Bakery & Desserts,Muffins,Chocolate Chip Muffins 4pck,Pick n Pay,39.99
Bakery & Desserts,Muffins,Blueberry Muffins 4pck,House Brand,34.99
Bakery & Desserts,Muffins,Bran Muffins 4pck,House Brand,32.99
Bakery & Desserts,Pies and Tarts,Apple Pie,Krispy Kreme,64.99
Bakery & Desserts,Pies and Tarts,Milk Tart,House Brand,54.99
Bakery & Desserts,Pies and Tarts,Lemon Meringue Tart,House Brand,59.99
Bakery & Desserts,Pies and Tarts,Caramel Tart,House Brand,57.99
Bakery & Desserts,Doughnuts,Glazed Doughnuts,House Brand,29.99
Bakery & Desserts,Doughnuts,Assorted Doughnuts,House Brand,34.99
Bakery & Desserts,Frozen Desserts,Vanilla Ice Cream,Ola Magnum,89.99
Bakery & Desserts,Frozen Desserts,Chocolate Ice Cream,Gatti,79.99
Bakery & Desserts,Puddings,Malva Pudding,House Brand,39.99
Bakery & Desserts,Puddings,Sticky Toffee Pudding,House Brand,42.99
Snacks,Biscuits,Chocolate Chip Cookies,Bakers,34.99
Snacks,Biscuits,Shortbread,House Brand,24.99
Snacks,Biscuits,Buttermilk Rusks,Ouma Rusks,54.99
Snacks,Biscuits,Muesli Rusks,House Brand,49.99
Snacks,Chips & Crisps,Salted Potato Chips,Simba,19.99
Snacks,Chips & Crisps,Spicy Tomato Chips,Lay's,22.99
Snacks,Chips & Crisps,Cheese Curls,NikNaks,17.99
Snacks,Popcorn,Butter Popcorn,Simba,18.99
Snacks,Popcorn,Salted Microwave Popcorn,Act II,19.99
Snacks,Nuts,Salted Peanuts,Bokomo,29.99
Snacks,Nuts,Mixed Nuts,Montagu,59.99
Snacks,Dried Fruits,Dried Mango,Montagu,49.99
Snacks,Dried Fruits,Dried Apricots,Safari,39.99
Snacks,Biltong & Dried Meat,Beef Biltong,Strips & Sticks,89.99
Snacks,Biltong & Dried Meat,Droëwors,Chappy's,84.99
Snacks,Crackers,Cream Crackers,Bakers,29.99
Snacks,Crackers,Multigrain Rice Crackers,House Brand,24.99
Snacks,Pretzels,Salted Pretzels,Simba,22.99
Snacks,Chocolate Bars,Milk Chocolate,Cadbury Dairy Milk,19.99
Snacks,Chocolate Bars,Bar One,Nestlé,18.99
Snacks,Candy,Jelly Tots,Beacon,16.99
Snacks,Candy,Mint Imperials,Woolworths,24.99
Snacks,Gum,Chewing Gum (Spearmint),Stimorol,12.99
Snacks,Gum,Bubble Gum,Chappies,9.99
Snacks,Energy Bars,Peanut Butter Energy Bar,Jungle Energy,14.99
Snacks,Energy Bars,Chocolate Protein Bar,USN,24.99
Pantry & Dry Goods,Rice & Grains,White Rice,Tastic,39.99
Pantry & Dry Goods,Rice & Grains,Brown Rice,SunRice,44.99
Pantry & Dry Goods,Pasta,Spaghetti,Barilla,34.99
Pantry & Dry Goods,Pasta,Macaroni,Sasko,29.99
Pantry & Dry Goods,Lentils & Beans,Red Lentils,Ideal,39.99
Pantry & Dry Goods,Lentils & Beans,Mixed Beans,KOO,24.99
Pantry & Dry Goods,Flour,Cake Flour,Sasko,34.99
Pantry & Dry Goods,Flour,All-Purpose Flour,White Star,32.99
Pantry & Dry Goods,Baking Ingredients,Baking Powder,Royal,19.99
Pantry & Dry Goods,Baking Ingredients,Cocoa Powder,Nestlé,39.99
Pantry & Dry Goods,Sugar & Sweeteners,White Sugar,Sasko,34.99
Pantry & Dry Goods,Sugar & Sweeteners,Brown Sugar,GoldnWhite,36.99
Pantry & Dry Goods,Salt & Spices,Table Salt,Cerebos,14.99
Pantry & Dry Goods,Salt & Spices,Himalayan Pink Salt,Cape Herb & Spice,49.99
Pantry & Dry Goods,Sauces & Condiments,Tomato Sauce,All Gold,29.99
Pantry & Dry Goods,Sauces & Condiments,Mustard,French's,34.99
Pantry & Dry Goods,Sauces & Condiments,Mayonnaise,Hellmann's,54.99
Pantry & Dry Goods,Oils & Vinegar,Olive Oil,Lourensford,99.99
Pantry & Dry Goods,Oils & Vinegar,Canola Oil,Canola,69.99
Pantry & Dry Goods,Honey & Syrups,Pure Honey,Honeydale,74.99
Pantry & Dry Goods,Honey & Syrups,Maple Syrup,Canada Grade A,99.99
Pantry & Dry Goods,Cereals & Muesli,Cornflakes,Kellogg's,49.99
Pantry & Dry Goods,Cereals & Muesli,Muesli,Jungle Oats,59.99
Pantry & Dry Goods,Baking Mixes,Pancake Mix,Pargo,34.99
Pantry & Dry Goods,Baking Mixes,Brownie Mix,Sasko,39.99
Pantry & Dry Goods,Instant Foods,Instant Oats,Jungle Oats,44.99
Pantry & Dry Goods,Instant Foods,Instant Soup,Knorr,24.99
Pantry & Dry Goods,Dried Fruits,Dried Apricots,Safari,39.99
Pantry & Dry Goods,Dried Fruits,Dried Prunes,Sun-Maid,54.99
Pantry & Dry Goods,Canned Goods,Baked Beans,KOO,19.99
Pantry & Dry Goods,Canned Goods,Chick Peas in Brine,KOO,21.99
Pantry & Dry Goods,Canned Goods,Creamstyle Sweetcorn,KOO,17.99
Pantry & Dry Goods,Canned Goods,Garden Peas In Sweetened Brine,KOO,18.99
Pantry & Dry Goods,Canned Goods,Guava Halves In Syrup,KOO,24.99
Pantry & Dry Goods,Canned Goods,Baked Beans,House Brand,14.99
Pantry & Dry Goods,Canned Goods,Baked Beans,Pot 'O Gold,16.99
Pantry & Dry Goods,Canned Goods,Pilchards in Tomato Sauce,Lucky Star,39.99
Pantry & Dry Goods,Canned Goods,Lightly Shredded Tuna in Oil,Lucky Star,27.99
Pantry & Dry Goods,Canned Goods,Smoked Sardines,Lucky Star,34.99
Pantry & Dry Goods,Canned Goods,Lightly Shredded Tuna in Oil,House Brand,22.99
Pantry & Dry Goods,Canned Goods,Sweet Corn,Pot 'O Gold,16.99
Pantry & Dry Goods,Canned Goods,Baked Beans,Lucky Star,21.99
Pantry & Dry Goods,Canned Goods,Pineapple in Syrup,House Brand,19.99
Pantry & Dry Goods,Canned Goods,Peach Halves in Syrup,House Brand,18.99
Beverages & Water,Water,Still Water,Aquelle,9.99
Beverages & Water,Water,Sparkling Water,Perrier,24.99
Beverages & Water,Soft Drinks,Cola,Coca-Cola,14.99
Beverages & Water,Soft Drinks,Lemonade,Fanta,13.99
Beverages & Water,Soft Drinks,Cream Soda,Sprite,13.99
Beverages & Water,Fruit Juices,Orange Juice,Ceres,29.99
Beverages & Water,Fruit Juices,Apple Juice,LiquiFruit,27.99
Beverages & Water,Fruit Juices,Mango Juice,Tropika,24.99
Beverages & Water,Fruit Juices,Mixed Fruit Juice,Woolworths,34.99
Pantry & Dry Goods,Tea,Black Tea,Five Roses,29.99
Pantry & Dry Goods,Tea,Green Tea,Lipton,34.99
Pantry & Dry Goods,Tea,Rooibos Tea,Rooibos Limited,39.99
Pantry & Dry Goods,Coffee,Instant Coffee,Ricoffy,49.99
Pantry & Dry Goods,Coffee,Ground Coffee,Nescafé,64.99
Pantry & Dry Goods,Coffee,Espresso,Lavazza,79.99
Beverages & Water,Energy Drinks,Energy Drink,Red Bull,25
Beverages & Water,Energy Drinks,Energy Drink,Monster,30
Beverages & Water,Sports Drinks,Electrolyte Drink,Powerade,18
Beverages & Water,Sports Drinks,Isotonic Drink,Gatorade,22
Beverages & Water,Flavoured Water,Lemon-Flavoured Water,Aquelle,15
Beverages & Water,Flavoured Water,Berry-Flavoured Water,Valpre,18
Beverages & Water,Bottled Water,Mineral Water,Nestlé Pure Life,10
Beverages & Water,Bottled Water,Purified Water,AquaVita,12
Beverages & Water,Bottled Water,Spring Water,Mount Franklin,14
Alcoholic Beverages,Beers and Ciders,Beer,Castle Lager 6pck,100
Alcoholic Beverages,Beers and Ciders,Beer,Corona 6pck,150
Alcoholic Beverages,Beers and Ciders,Beer,Black Label 6pck,95
Alcoholic Beverages,Beers and Ciders,Beer,Castle Light 6pck,110
Alcoholic Beverages,Beers and Ciders,Cider,Hunters Gold,110
Alcoholic Beverages,Beers and Ciders,Cider,Savannah,115
Alcoholic Beverages,Wines,Cabernet,Nederburg,85
Alcoholic Beverages,Wines,Sauvignon,Nederburg,80
Alcoholic Beverages,Wines,Merlot,Nederburg,90
Alcoholic Beverages,Wines,Pinot,Nederburg,95
Alcoholic Beverages,Wines,Syrah,Nederburg,100
Alcoholic Beverages,Wines,Shiraz,Nederburg,100
Alcoholic Beverages,Wines,Rose,Nederburg,75
Alcoholic Beverages,Wines,Sauvignon Blanc,Nederburg,85
Alcoholic Beverages,Wines,Chardonnay,Nederburg,90
Alcoholic Beverages,Wines,Cabernet,Stellenbosch Vineyards,95
Alcoholic Beverages,Wines,Sauvignon,Stellenbosch Vineyards,90
Alcoholic Beverages,Wines,Merlot,Stellenbosch Vineyards,100
Alcoholic Beverages,Wines,Pinot,Stellenbosch Vineyards,105
