Category,Subcategory,Item Name,Brand,Price,Category_ID,Subcategory_ID,Item_ID
Bakery & Desserts,Breads,White Bread,Albany,16.99,794,1263,52597
Bakery & Desserts,Breads,Wholewheat Bread,Sasko,18.99,794,1263,56457
Bakery & Desserts,Breads,Hamburger Buns 6pk,House Brand,14.99,794,1263,81010
Bakery & Desserts,Breads,Hotdog Buns 6pck,House Brand,14.99,794,1263,91247
Bakery & Desserts,Breads,Baguette,House Brand,17.99,794,1263,20052
Bakery & Desserts,Cakes,Chocolate Cake,Pick n Pay,59.99,794,2487,53818
Bakery & Desserts,Cakes,Vanilla Sponge Cake,House Brand,49.99,794,2487,94269
Bakery & Desserts,Pastries,Croissants,House Brand,34.99,794,2636,42404
Bakery & Desserts,Pastries,Danish Pastry,House Brand,29.99,794,2636,69874
Bakery & Desserts,Muffins,Chocolate Chip Muffins 4pck,Pick n Pay,39.99,794,7208,18382
Bakery & Desserts,Muffins,Blueberry Muffins 4pck,House Brand,34.99,794,7208,59644
Bakery & Desserts,Muffins,Bran Muffins 4pck,House Brand,32.99,794,7208,71336
Bakery & Desserts,Pies and Tarts,Apple Pie,Krispy Kreme,64.99,794,4931,76570
Bakery & Desserts,Pies and Tarts,Milk Tart,House Brand,54.99,794,4931,20106
Bakery & Desserts,Pies and Tarts,Lemon Meringue Tart,House Brand,59.99,794,4931,63988
Bakery & Desserts,Pies and Tarts,Caramel Tart,House Brand,57.99,794,4931,57950
Bakery & Desserts,Doughnuts,Glazed Doughnuts,House Brand,29.99,794,6911,30855
Bakery & Desserts,Doughnuts,Assorted Doughnuts,House Brand,34.99,794,6911,31251
Bakery & Desserts,Frozen Desserts,Vanilla Ice Cream,Ola Magnum,89.99,794,8220,55533
Bakery & Desserts,Frozen Desserts,Chocolate Ice Cream,Gatti,79.99,794,8220,20280
Bakery & Desserts,Puddings,Malva Pudding,House Brand,39.99,794,6253,91681
Bakery & Desserts,Puddings,Sticky Toffee Pudding,House Brand,42.99,794,6253,23884
Snacks,Biscuits,Chocolate Chip Cookies,Bakers,34.99,576,2295,13355
Snacks,Biscuits,Shortbread,House Brand,24.99,576,2295,85362
Snacks,Biscuits,Buttermilk Rusks,Ouma Rusks,54.99,576,2295,34829
Snacks,Biscuits,Muesli Rusks,House Brand,49.99,576,2295,63059
Snacks,Chips & Crisps,Salted Potato Chips,Simba,19.99,576,4656,67675
Snacks,Chips & Crisps,Spicy Tomato Chips,Lay's,22.99,576,4656,23981
Snacks,Chips & Crisps,Cheese Curls,NikNaks,17.99,576,4656,90963
Snacks,Popcorn,Butter Popcorn,Simba,18.99,576,7948,54378
Snacks,Popcorn,Salted Microwave Popcorn,Act II,19.99,576,7948,76314
