Transaction ID,Transaction Date,Store ID,Item ID,Quantity,Unit Price,Total Amount
CPT001_20200101_080000,2020-01-01,CPT001,38146,3,20.0,60.0
CPT001_20200101_080000,2020-01-01,CPT001,30358,2,39.99,79.98
CPT001_20200101_080000,2020-01-01,CPT001,56844,4,21.99,87.96
CPT001_20200101_080000,2020-01-01,CPT001,56844,1,19.99,19.99
CPT001_20200101_080000,2020-01-01,CPT001,72273,1,40.0,40.0
CPT001_20200101_080000,2020-01-01,CPT001,75648,1,100.0,100.0
CPT001_20200101_080000,2020-01-01,CPT001,43390,3,85.0,255.0
CPT001_20200101_080000,2020-01-01,CPT001,23641,1,30.0,30.0
CPT001_20200101_081902,2020-01-01,CPT001,92548,1,9.0,9.0
CPT001_20200101_083738,2020-01-01,CPT001,80427,5,35.0,175.0
CPT001_20200101_084415,2020-01-01,CPT001,47816,3,250.0,750.0
CPT001_20200101_084415,2020-01-01,CPT001,67061,4,10.0,40.0
CPT001_20200101_084415,2020-01-01,CPT001,56143,1,85.0,85.0
CPT001_20200101_084415,2020-01-01,CPT001,53229,4,25.0,100.0
CPT001_20200101_084415,2020-01-01,CPT001,88244,1,35.0,35.0
CPT001_20200101_084415,2020-01-01,CPT001,46022,1,29.99,29.99
CPT001_20200101_090349,2020-01-01,CPT001,77791,3,40.0,120.0
CPT001_20200101_092115,2020-01-01,CPT001,63988,1,59.99,59.99
CPT001_20200101_092115,2020-01-01,CPT001,72273,4,40.0,160.0
CPT001_20200101_092115,2020-01-01,CPT001,21616,3,18.0,54.0
CPT001_20200101_092115,2020-01-01,CPT001,55740,2,39.99,79.98
CPT001_20200101_092115,2020-01-01,CPT001,56844,6,21.99,131.94
CPT001_20200101_092115,2020-01-01,CPT001,47417,4,20.0,80.0
CPT001_20200101_092115,2020-01-01,CPT001,36079,5,29.99,149.95
CPT001_20200101_093929,2020-01-01,CPT001,66183,1,84.99,84.99
CPT001_20200101_100740,2020-01-01,CPT001,13220,4,59.99,239.96
CPT001_20200101_100740,2020-01-01,CPT001,87681,3,38.0,114.0
CPT001_20200101_100740,2020-01-01,CPT001,40911,3,15.0,45.0
CPT001_20200101_100740,2020-01-01,CPT001,76434,5,75.0,375.0
CPT001_20200101_100740,2020-01-01,CPT001,43390,3,90.0,270.0
CPT001_20200101_100740,2020-01-01,CPT001,50119,3,55.0,165.0
CPT001_20200101_100740,2020-01-01,CPT001,41221,4,20.0,80.0
CPT001_20200101_100740,2020-01-01,CPT001,67763,4,9.99,39.96
CPT001_20200101_103205,2020-01-01,CPT001,92004,1,18.0,18.0
CPT001_20200101_103205,2020-01-01,CPT001,74081,3,150.0,450.0
CPT001_20200101_103205,2020-01-01,CPT001,49329,1,24.99,24.99
CPT001_20200101_110005,2020-01-01,CPT001,79934,3,55.0,165.0
CPT001_20200101_110023,2020-01-01,CPT001,47521,1,34.99,34.99
CPT001_20200101_110023,2020-01-01,CPT001,93919,4,34.99,139.96
CPT001_20200101_113024,2020-01-01,CPT001,16100,1,90.0,90.0
CPT001_20200101_113024,2020-01-01,CPT001,21130,6,27.99,167.94
CPT001_20200101_113024,2020-01-01,CPT001,20157,3,18.99,56.97
CPT001_20200101_113024,2020-01-01,CPT001,30294,1,18.0,18.0
CPT001_20200101_113024,2020-01-01,CPT001,65974,1,30.0,30.0
CPT001_20200101_115135,2020-01-01,CPT001,79086,2,30.0,60.0
CPT001_20200101_115135,2020-01-01,CPT001,20280,1,79.99,79.99
CPT001_20200101_115135,2020-01-01,CPT001,66151,1,13.99,13.99
CPT001_20200101_115135,2020-01-01,CPT001,47276,1,44.99,44.99
CPT001_20200101_115135,2020-01-01,CPT001,51808,1,79.99,79.99
CPT001_20200101_115644,2020-01-01,CPT001,99319,5,25.0,125.0
CPT001_20200101_115644,2020-01-01,CPT001,16177,5,14.99,74.95
CPT001_20200101_115644,2020-01-01,CPT001,75771,1,45.0,45.0
CPT001_20200101_115644,2020-01-01,CPT001,21130,1,22.99,22.99
CPT001_20200101_115644,2020-01-01,CPT001,81010,1,14.99,14.99
CPT001_20200101_115644,2020-01-01,CPT001,87681,5,38.0,190.0
CPT001_20200101_115644,2020-01-01,CPT001,49329,6,24.99,149.94
CPT001_20200101_122541,2020-01-01,CPT001,93434,3,54.99,164.97
CPT001_20200101_122541,2020-01-01,CPT001,25227,2,36.99,73.98
CPT001_20200101_124212,2020-01-01,CPT001,56844,1,21.99,21.99
CPT001_20200101_124212,2020-01-01,CPT001,92004,1,18.0,18.0
CPT001_20200101_124212,2020-01-01,CPT001,87794,6,44.99,269.94
CPT001_20200101_124212,2020-01-01,CPT001,53229,2,25.0,50.0
CPT001_20200101_124212,2020-01-01,CPT001,25100,1,65.0,65.0
CPT001_20200101_124212,2020-01-01,CPT001,13220,3,59.99,179.97
CPT001_20200101_124212,2020-01-01,CPT001,46507,6,40.0,240.0
CPT001_20200101_130459,2020-01-01,CPT001,13043,1,17.99,17.99
CPT001_20200101_130459,2020-01-01,CPT001,65577,1,2000.0,2000.0
CPT001_20200101_130459,2020-01-01,CPT001,11482,1,180.0,180.0
CPT001_20200101_130459,2020-01-01,CPT001,13220,6,59.99,359.94
